home,score,away,year
Argentina ,2:0 (0:0), Paraguay,1922
,,,1922
Brasil ,3:0 (1:0), Paraguay,1922
,,,1922
Argentina ,4:3 (1:1), Paraguay,1923
,,,1923
Uruguay ,2:0 (1:0), Paraguay,1923
,,,1923
Paraguay ,1:0 (0:0), Brasil,1923
,,,1923
Argentina ,2:1 (1:1), Brasil,1923
,,,1923
Uruguay ,2:1 (0:0), Brasil,1923
,,,1923
Uruguay ,2:0 (1:0), Argentina,1923
,,,1923
Argentina ,0:0, Paraguay,1924
,,,1924
Uruguay ,5:0 (1:0), Chile,1924
,,,1924
Argentina ,2:0 (1:0), Chile,1924
,,,1924
Uruguay ,3:1 (2:0), Paraguay,1924
,,,1924
Paraguay ,3:1 (2:1), Chile,1924
,,,1924
Uruguay ,0:0, Argentina,1924
,,,1924
Argentina ,2:0 (1:0), Paraguay,1925
,,,1925
Paraguay ,2:5 (1:3), Brasil,1925
,,,1925
Brasil ,1:4 (1:1), Argentina,1925
,,,1925
Brasil ,3:1 (1:0), Paraguay,1925
,,,1925
Paraguay ,1:3 (1:2), Argentina,1925
,,,1925
Argentina ,2:2 (1:2), Brasil,1925
,,,1925
Chile ,7:1 (4:0), Bolivia,1926
,,,1926
Argentina ,5:0 (4:0), Bolivia,1926
,,,1926
Chile ,1:3 (0:2), Uruguay,1926
,,,1926
Argentina ,8:0 (5:0), Paraguay,1926
,,,1926
Paraguay ,6:1 (0:1), Bolivia,1926
,,,1926
Uruguay ,2:0 (1:0), Argentina,1926
,,,1926
Uruguay ,6:0 (4:0), Bolivia,1926
,,,1926
Chile ,1:1 (1:0), Argentina,1926
,,,1926
Uruguay ,6:1 (3:0), Paraguay,1926
,,,1926
Chile ,5:1 (2:1), Paraguay,1926
,,,1926
Argentina ,7:1 (5:1), Bolivia,1927
,,,1927
Perú ,0:4 (0:0), Uruguay,1927
,,,1927
Uruguay ,9:0 (3:0), Bolivia,1927
,,,1927
Perú ,3:2 (3:2), Bolivia,1927
,,,1927
Argentina ,3:2 (0:1), Uruguay,1927
,,,1927
Perú ,1:5 (1:5), Argentina,1927
,,,1927
Paraguay ,3:0 (1:0), Uruguay,1929
,,,1929
Argentina ,3:0 (2:0), Perú,1929
,,,1929
Argentina ,4:1 (2:0), Paraguay,1929
,,,1929
Uruguay ,4:1 (3:0), Perú,1929
,,,1929
Paraguay ,5:0 (1:0), Perú,1929
,,,1929
Argentina ,2:0 (1:0), Uruguay,1929
,,,1929
Argentina ,4:1 (1:1), Chile,1935
,,,1935
Uruguay ,1:0 (0:0), Perú,1935
,,,1935
Uruguay ,2:1 (1:0), Chile,1935
,,,1935
Argentina ,4:1 (1:1), Perú,1935
,,,1935
Perú ,1:0 (1:0), Chile,1935
,,,1935
Uruguay ,3:0 (3:0), Argentina,1935
,,,1935
Brasil ,3:2 (2:0), Perú,1937
,,,1937
Argentina ,2:1 (2:0), Chile,1937
,,,1937
Uruguay ,2:4 (2:3), Paraguay,1937
,,,1937
Brasil ,6:4 (5:3), Chile,1937
,,,1937
Uruguay ,4:2 (2:2), Perú,1937
,,,1937
Argentina ,6:1 (3:0), Paraguay,1937
,,,1937
Uruguay ,0:3 (0:1), Chile,1937
,,,1937
Brasil ,5:0 (2:0), Paraguay,1937
,,,1937
Argentina ,1:0 (0:0), Perú,1937
,,,1937
Paraguay ,3:2 (1:1), Chile,1937
,,,1937
Brasil ,3:2 (1:1), Uruguay,1937
,,,1937
Perú ,2:2 (2:1), Chile,1937
,,,1937
Argentina ,2:3 (0:1), Uruguay,1937
,,,1937
Perú ,1:0 (1:0), Paraguay,1937
,,,1937
Argentina ,1:0 (0:0), Brasil,1937
,,,1937
Argentina ,"2:0 (0:0, 0:0) (t. s.)", Brasil,1937
,,,1937
Paraguay ,5:1 (2:1), Chile,1939
,,,1939
Perú ,5:2 (3:0), Ecuador,1939
,,,1939
Uruguay ,6:0 (1:0), Ecuador,1939
,,,1939
Perú ,3:1 (0:0), Chile,1939
,,,1939
Uruguay ,3:2 (2:2), Chile,1939
,,,1939
Perú ,3:0 (2:0), Paraguay,1939
,,,1939
Ecuador ,1:4 (1:3), Chile,1939
,,,1939
Uruguay ,3:1 (2:0), Paraguay,1939
,,,1939
Paraguay ,3:1 (1:0), Ecuador,1939
,,,1939
Perú ,2:1 (2:1), Uruguay,1939
,,,1939
Chile ,5:0 (4:0), Ecuador,1941
,,,1941
Uruguay ,6:0 (4:0), Ecuador,1941
,,,1941
Chile ,1:0 (1:0), Perú,1941
,,,1941
Argentina ,2:1 (1:0), Perú,1941
,,,1941
Argentina ,6:1 (5:0), Ecuador,1941
,,,1941
Uruguay ,2:0 (1:0), Chile,1941
,,,1941
Ecuador ,0:4 (0:3), Perú,1941
,,,1941
Argentina ,1:0 (0:0), Uruguay,1941
,,,1941
Uruguay ,2:0 (1:0), Perú,1941
,,,1941
Argentina ,1:0 (0:0), Chile,1941
,,,1941
Uruguay ,6:1 (4:1), Chile,1942
,,,1942
Argentina ,4:3 (2:0), Paraguay,1942
,,,1942
Brasil ,6:1 (2:1), Chile,1942
,,,1942
Argentina ,2:1 (2:1), Brasil,1942
,,,1942
Uruguay ,7:0 (7:0), Ecuador,1942
,,,1942
Paraguay ,1:1 (1:1), Perú,1942
,,,1942
Brasil ,2:1 (1:0), Perú,1942
,,,1942
Paraguay ,2:0 (1:0), Chile,1942
,,,1942
Argentina ,12:0 (6:0), Ecuador,1942
,,,1942
Uruguay ,1:0 (1:0), Brasil,1942
,,,1942
Paraguay ,3:1 (1:0), Ecuador,1942
,,,1942
Argentina ,3:1 (1:1), Perú,1942
,,,1942
Perú ,2:1 (1:0), Ecuador,1942
,,,1942
Uruguay ,3:1 (2:0), Paraguay,1942
,,,1942
Argentina ,0:0, Chile,1942
,,,1942
Brasil ,5:1 (3:1), Ecuador,1942
,,,1942
Uruguay ,3:0 (0:0), Perú,1942
,,,1942
Chile ,2:1 (2:1), Ecuador,1942
,,,1942
Brasil ,1:1 (1:1), Paraguay,1942
,,,1942
Perú ,0:0, Chile,1942
,,,1942
Uruguay ,1:0 (0:0), Argentina,1942
,,,1942
Chile ,6:3 (3:2), Ecuador,1945
,,,1945
Argentina ,4:0 (2:0), Bolivia,1945
,,,1945
Brasil ,3:0 (3:0), Colombia,1945
,,,1945
Chile ,5:0 (3:0), Bolivia,1945
,,,1945
Uruguay ,5:1 (2:1), Ecuador,1945
,,,1945
Uruguay ,7:0 (3:0), Colombia,1945
,,,1945
Brasil ,2:0 (0:0), Bolivia,1945
,,,1945
Chile ,2:0 (1:0), Colombia,1945
,,,1945
Argentina ,4:2 (1:0), Ecuador,1945
,,,1945
Argentina ,9:1 (7:0), Colombia,1945
,,,1945
Brasil ,3:0 (3:0), Uruguay,1945
,,,1945
Bolivia ,0:0, Ecuador,1945
,,,1945
Chile ,1:1 (1:0), Argentina,1945
,,,1945
Uruguay ,2:0 (1:0), Bolivia,1945
,,,1945
Argentina ,3:1 (3:1), Brasil,1945
,,,1945
Colombia ,3:1 (1:1), Ecuador,1945
,,,1945
Chile ,1:0 (1:0), Uruguay,1945
,,,1945
Bolivia ,3:3 (0:2), Colombia,1945
,,,1945
Brasil ,9:2 (5:1), Ecuador,1945
,,,1945
Argentina ,1:0 (0:0), Uruguay,1945
,,,1945
Brasil ,1:0 (1:0), Chile,1945
,,,1945
Bolivia ,0:0, Ecuador,1945
,,,1945
Colombia ,3:1 (1:1), Ecuador,1945
,,,1945
Bolivia ,3:3 (0:2), Colombia,1945
,,,1945
Argentina ,2:0 (2:0), Paraguay,1946
,,,1946
Brasil ,3:0 (0:0), Bolivia,1946
,,,1946
Uruguay ,1:0 (1:0), Chile,1946
,,,1946
Chile ,2:1 (0:1), Paraguay,1946
,,,1946
Argentina ,7:1 (2:0), Bolivia,1946
,,,1946
Brasil ,4:3 (4:2), Uruguay,1946
,,,1946
Paraguay ,4:2 (2:1), Bolivia,1946
,,,1946
Argentina ,3:1 (1:0), Chile,1946
,,,1946
Uruguay ,5:0 (3:0), Bolivia,1946
,,,1946
Brasil ,1:1 (0:1), Paraguay,1946
,,,1946
Argentina ,3:1 (1:0), Uruguay,1946
,,,1946
Brasil ,5:1 (2:0), Chile,1946
,,,1946
Chile ,4:1 (2:0), Bolivia,1946
,,,1946
Paraguay ,2:1 (1:0), Uruguay,1946
,,,1946
Argentina ,2:0 (1:0), Brasil,1946
,,,1946
Ecuador ,2:2 (2:2), Bolivia,1947
,,,1947
Uruguay ,2:0 (1:0), Colombia,1947
,,,1947
Paraguay ,0:6 (0:3), Argentina,1947
,,,1947
Chile ,2:1 (1:0), Perú,1947
,,,1947
Ecuador ,0:0, Colombia,1947
,,,1947
Paraguay ,2:2 (1:1), Perú,1947
,,,1947
Uruguay ,6:0 (3:0), Chile,1947
,,,1947
Argentina ,7:0 (3:0), Bolivia,1947
,,,1947
Uruguay ,3:0 (1:0), Bolivia,1947
,,,1947
Chile ,3:0 (0:0), Ecuador,1947
,,,1947
Argentina ,3:2 (1:1), Perú,1947
,,,1947
Colombia ,0:2 (0:1), Paraguay,1947
,,,1947
Uruguay ,2:4 (1:0), Paraguay,1947
,,,1947
Bolivia ,0:0, Colombia,1947
,,,1947
Ecuador ,0:0, Perú,1947
,,,1947
Argentina ,1:1 (1:1), Chile,1947
,,,1947
Uruguay ,6:1 (5:0), Ecuador,1947
,,,1947
Argentina ,6:0 (3:0), Colombia,1947
,,,1947
Chile ,0:1 (0:0), Paraguay,1947
,,,1947
Perú ,2:0 (0:0), Bolivia,1947
,,,1947
Paraguay ,3:1 (3:0), Bolivia,1947
,,,1947
Argentina ,2:0 (1:0), Ecuador,1947
,,,1947
Uruguay ,1:0 (0:0), Perú,1947
,,,1947
Chile ,4:1 (1:0), Colombia,1947
,,,1947
Perú ,5:1 (0:1), Colombia,1947
,,,1947
Argentina ,3:1 (1:0), Uruguay,1947
,,,1947
Ecuador ,0:4 (0:2), Paraguay,1947
,,,1947
Bolivia ,3:4 (0:2), Chile,1947
,,,1947
Ecuador ,1:9 (1:7), Brasil,1949
,,,1949
Bolivia ,3:2 (0:1), Chile,1949
,,,1949
Colombia ,0:3 (0:2), Paraguay,1949
,,,1949
Colombia ,0:4 (0:1), Perú,1949
,,,1949
Ecuador ,0:1 (0:0), Paraguay,1949
,,,1949
Brasil ,10:1 (4:0), Bolivia,1949
,,,1949
Brasil ,2:1 (1:0), Chile,1949
,,,1949
Uruguay ,3:2 (2:2), Ecuador,1949
,,,1949
Paraguay ,3:1 (1:0), Perú,1949
,,,1949
Brasil ,5:0 (3:0), Colombia,1949
,,,1949
Chile ,1:0 (1:0), Ecuador,1949
,,,1949
Uruguay ,2:3 (0:0), Bolivia,1949
,,,1949
Ecuador ,0:4 (0:1), Perú,1949
,,,1949
Chile ,1:1 (1:0), Colombia,1949
,,,1949
Uruguay ,2:1 (1:0), Paraguay,1949
,,,1949
Brasil ,7:1 (4:1), Perú,1949
,,,1949
Ecuador ,0:2 (0:2), Bolivia,1949
,,,1949
Uruguay ,2:2 (0:1), Colombia,1949
,,,1949
Perú ,3:0 (1:0), Bolivia,1949
,,,1949
Paraguay ,4:2 (3:1), Chile,1949
,,,1949
Paraguay ,7:0 (6:0), Bolivia,1949
,,,1949
Uruguay ,1:5 (1:3), Brasil,1949
,,,1949
Perú ,3:0 (1:0), Chile,1949
,,,1949
Ecuador ,4:1 (2:1), Colombia,1949
,,,1949
Perú ,4:3 (2:0), Uruguay,1949
,,,1949
Bolivia ,4:0 (1:0), Colombia,1949
,,,1949
Chile ,3:1 (0:1), Uruguay,1949
,,,1949
Paraguay ,2:1 (0:1), Brasil,1949
,,,1949
Brasil ,7:0 (3:0), Paraguay,1949
,,,1949
Perú ,0:1 (0:0), Bolivia,1953
,,,1953
Paraguay ,3:0 (0:0), Chile,1953
,,,1953
Uruguay ,2:0 (1:0), Bolivia,1953
,,,1953
Perú ,1:0 (0:0), Ecuador,1953
,,,1953
Brasil ,8:1 (6:0), Bolivia,1953
,,,1953
Chile ,3:2 (1:0), Uruguay,1953
,,,1953
Paraguay ,0:0, Ecuador,1953
,,,1953
Chile ,0:0, Perú,1953
,,,1953
Bolivia ,1:1 (1:1), Ecuador,1953
,,,1953
Perú ,2:2 (0:1), Paraguay,1953
,,,1953
Paraguay ,2:2 (1:1), Uruguay,1953
,,,1953
Brasil ,2:0 (1:0), Ecuador,1953
,,,1953
Brasil ,1:0 (0:0), Uruguay,1953
,,,1953
Paraguay ,2:1 (2:0), Bolivia,1953
,,,1953
Chile ,3:0 (1:0), Ecuador,1953
,,,1953
Perú ,1:0 (0:0), Brasil,1953
,,,1953
Brasil ,3:2 (1:0), Chile,1953
,,,1953
Uruguay ,6:0 (1:0), Ecuador,1953
,,,1953
Paraguay ,2:1 (0:1), Brasil,1953
,,,1953
Chile ,2:2 (1:1), Bolivia,1953
,,,1953
Uruguay ,3:0 (1:0), Perú,1953
,,,1953
Paraguay ,3:2 (3:0), Brasil,1953
,,,1953
Chile ,7:1 (4:0), Ecuador,1955
,,,1955
Argentina ,5:3 (2:1), Paraguay,1955
,,,1955
Chile ,5:4 (2:1), Perú,1955
,,,1955
Uruguay ,3:1 (2:1), Paraguay,1955
,,,1955
Ecuador ,0:4 (0:3), Argentina,1955
,,,1955
Ecuador ,2:4 (1:3), Perú,1955
,,,1955
Chile ,2:2 (1:2), Uruguay,1955
,,,1955
Ecuador ,0:2 (0:2), Paraguay,1955
,,,1955
Argentina ,2:2 (2:1), Perú,1955
,,,1955
Chile ,5:0 (1:0), Paraguay,1955
,,,1955
Paraguay ,1:1 (0:1), Perú,1955
,,,1955
Uruguay ,5:1 (3:1), Ecuador,1955
,,,1955
Uruguay ,1:6 (1:2), Argentina,1955
,,,1955
Uruguay ,1:2 (0:1), Perú,1955
,,,1955
Chile ,0:1 (0:0), Argentina,1955
,,,1955
Uruguay ,4:2 (3:0), Paraguay,1956
,,,1956
Argentina ,2:1 (1:0), Perú,1956
,,,1956
Chile ,4:1 (1:1), Brasil,1956
,,,1956
Uruguay ,2:0 (1:0), Perú,1956
,,,1956
Brasil ,0:0, Paraguay,1956
,,,1956
Argentina ,2:0 (1:0), Chile,1956
,,,1956
Brasil ,2:1 (1:1), Perú,1956
,,,1956
Argentina ,1:0 (0:0), Paraguay,1956
,,,1956
Paraguay ,1:1 (0:0), Perú,1956
,,,1956
Brasil ,1:0 (0:0), Argentina,1956
,,,1956
Uruguay ,2:1 (1:0), Chile,1956
,,,1956
Chile ,4:3 (2:1), Perú,1956
,,,1956
Uruguay ,0:0, Brasil,1956
,,,1956
Chile ,2:0 (1:0), Paraguay,1956
,,,1956
Uruguay ,1:0 (1:0), Argentina,1956
,,,1956
Uruguay ,5:2 (2:2), Ecuador,1957
,,,1957
Perú ,2:1 (2:1), Ecuador,1957
,,,1957
Argentina ,8:2 (4:2), Colombia,1957
,,,1957
Brasil ,4:2 (3:1), Chile,1957
,,,1957
Perú ,1:0 (0:0), Chile,1957
,,,1957
Colombia ,1:0 (1:0), Uruguay,1957
,,,1957
Argentina ,3:0 (3:0), Ecuador,1957
,,,1957
Argentina ,4:0 (1:0), Uruguay,1957
,,,1957
Brasil ,7:1 (4:0), Ecuador,1957
,,,1957
Chile ,3:2 (1:0), Colombia,1957
,,,1957
Perú ,3:5 (1:2), Uruguay,1957
,,,1957
Chile ,2:2 (2:1), Ecuador,1957
,,,1957
Brasil ,9:0 (4:0), Colombia,1957
,,,1957
Perú ,4:1 (3:0), Colombia,1957
,,,1957
Argentina ,6:2 (2:2), Chile,1957
,,,1957
Uruguay ,3:2 (3:0), Brasil,1957
,,,1957
Perú ,0:1 (0:0), Brasil,1957
,,,1957
Colombia ,4:1 (3:1), Ecuador,1957
,,,1957
Uruguay ,2:0 (2:0), Chile,1957
,,,1957
Argentina ,3:0 (1:0), Brasil,1957
,,,1957
Perú ,2:1 (1:0), Argentina,1957
,,,1957
Argentina,6:1 (4:1),Chile,1959
,,,1959
Uruguay,7:0 (3:0),Bolivia,1959
,,,1959
Brasil,2:2 (1:0),Perú,1959
,,,1959
Paraguay,2:1 (2:1),Chile,1959
,,,1959
Argentina,2:0 (1:0),Bolivia,1959
,,,1959
Perú,5:3 (4:2),Uruguay,1959
,,,1959
Paraguay,5:0 (3:0),Bolivia,1959
,,,1959
Brasil,3:0 (2:0),Chile,1959
,,,1959
Uruguay,3:1 (2:0),Paraguay,1959
,,,1959
Argentina,3:1 (2:0),Perú,1959
,,,1959
Brasil,4:2 (3:2),Bolivia,1959
,,,1959
Chile,1:1 (0:1),Perú,1959
,,,1959
Argentina,3:1 (1:1),Paraguay,1959
,,,1959
Chile,5:2 (3:1),Bolivia,1959
,,,1959
Brasil,3:1 (0:1),Uruguay,1959
,,,1959
Perú,0:0,Bolivia,1959
,,,1959
Brasil,4:1 (2:1),Paraguay,1959
,,,1959
Argentina,4:1 (1:0),Uruguay,1959
,,,1959
Paraguay,2:1 (1:0),Perú,1959
,,,1959
Chile,1:0 (0:0),Uruguay,1959
,,,1959
Argentina,1:1 (1:0),Brasil,1959
,,,1959
Brasil,3:2 (2:1),Paraguay,1959
,,,1959
Ecuador,0:4 (0:2),Uruguay,1959
,,,1959
Argentina,4:2 (1:1),Paraguay,1959
,,,1959
Uruguay,3:0 (0:0),Brasil,1959
,,,1959
Ecuador,1:1 (1:0),Argentina,1959
,,,1959
Uruguay,5:0 (3:0),Argentina,1959
,,,1959
Ecuador,1:3 (1:3),Brasil,1959
,,,1959
Argentina,4:1 (2:0),Brasil,1959
,,,1959
Uruguay,1:1 (0:1),Paraguay,1959
,,,1959
Ecuador,3:1 (0:1),Paraguay,1959
,,,1959
Bolivia ,4:4 (2:2), Ecuador,1963
,,,1963
Argentina ,4:2 (2:2), Colombia,1963
,,,1963
Brasil ,1:0 (1:0), Perú,1963
,,,1963
Perú ,2:1 (0:0), Argentina,1963
,,,1963
Paraguay ,3:1 (1:1), Ecuador,1963
,,,1963
Brasil ,5:1 (2:0), Colombia,1963
,,,1963
Bolivia ,2:1 (2:1), Colombia,1963
,,,1963
Perú ,2:1 (2:1), Ecuador,1963
,,,1963
Paraguay ,2:0 (1:0), Brasil,1963
,,,1963
Paraguay ,3:2 (1:1), Colombia,1963
,,,1963
Argentina ,4:2 (1:1), Ecuador,1963
,,,1963
Bolivia ,3:2 (2:1), Perú,1963
,,,1963
Perú ,1:1 (1:1), Colombia,1963
,,,1963
Argentina ,3:0 (2:0), Brasil,1963
,,,1963
Bolivia ,2:0 (1:0), Paraguay,1963
,,,1963
Brasil ,2:2 (1:0), Ecuador,1963
,,,1963
Paraguay ,4:1 (3:0), Perú,1963
,,,1963
Bolivia ,3:2 (2:2), Argentina,1963
,,,1963
Ecuador ,4:3 (2:0), Colombia,1963
,,,1963
Argentina ,1:1 (0:1), Paraguay,1963
,,,1963
Bolivia ,5:4 (2:2), Brasil,1963
,,,1963
Chile ,5:2 (3:0), Colombia,1967
,,,1967
Colombia ,0:0, Chile,1967
,,,1967
Ecuador ,2:2 (0:0), Paraguay,1967
,,,1967
Paraguay ,3:1 (2:0), Ecuador,1967
,,,1967
Uruguay ,4:0 (2:0), Bolivia,1967
,,,1967
Chile ,2:0 (2:0), Venezuela,1967
,,,1967
Argentina ,4:1 (1:0), Paraguay,1967
,,,1967
Uruguay ,4:0 (2:0), Venezuela,1967
,,,1967
Argentina ,1:0 (0:0), Bolivia,1967
,,,1967
Chile ,4:2 (2:1), Paraguay,1967
,,,1967
Paraguay ,1:0 (0:0), Bolivia,1967
,,,1967
Argentina ,5:1 (2:0), Venezuela,1967
,,,1967
Uruguay ,2:2 (1:2), Chile,1967
,,,1967
Venezuela ,3:0 (0:0), Bolivia,1967
,,,1967
Argentina ,2:0 (1:0), Chile,1967
,,,1967
Uruguay ,2:0 (1:0), Paraguay,1967
,,,1967
Chile ,0:0, Bolivia,1967
,,,1967
Paraguay ,5:3 (4:1), Venezuela,1967
,,,1967
Uruguay ,1:0 (0:0), Argentina,1967
,,,1967
Venezuela ,0:4 (0:1), Brasil,1975
,,,1975
Venezuela ,1:5 (1:3), Argentina,1975
,,,1975
Brasil ,2:1 (1:1), Argentina,1975
,,,1975
Argentina ,11:0 (4:0), Venezuela,1975
,,,1975
Brasil ,6:0 (3:0), Venezuela,1975
,,,1975
Argentina ,0:1 (0:1), Brasil,1975
,,,1975
Chile ,1:1 (1:0), Perú,1975
,,,1975
Bolivia ,2:1 (0:1), Chile,1975
,,,1975
Bolivia ,0:1 (0:1), Perú,1975
,,,1975
Perú ,3:1 (2:0), Bolivia,1975
,,,1975
Chile ,4:0 (1:0), Bolivia,1975
,,,1975
Perú ,3:1 (3:0), Chile,1975
,,,1975
Colombia ,1:0 (0:0), Paraguay,1975
,,,1975
Ecuador ,2:2 (1:1), Paraguay,1975
,,,1975
Ecuador ,1:3 (1:1), Colombia,1975
,,,1975
Paraguay ,0:1 (0:1), Colombia,1975
,,,1975
Colombia ,2:0 (2:0), Ecuador,1975
,,,1975
Paraguay ,3:1 (2:1), Ecuador,1975
,,,1975
Colombia ,3:0 (0:0), Uruguay,1975
,,,1975
Uruguay ,1:0 (1:0), Colombia,1975
,,,1975
Brasil ,1:3 (0:1), Perú,1975
,,,1975
Perú ,0:2 (0:1), Brasil,1975
,,,1975
Colombia ,1:0 (1:0), Perú,1975
,,,1975
Perú ,2:0 (2:0), Colombia,1975
,,,1975
Perú ,1:0 (1:0), Colombia,1975
,,,1975
Venezuela ,0:0, Colombia,1979
,,,1979
Venezuela ,1:1 (0:0), Chile,1979
,,,1979
Colombia ,1:0 (1:0), Chile,1979
,,,1979
Colombia ,4:0 (1:0), Venezuela,1979
,,,1979
Chile ,7:0 (2:0), Venezuela,1979
,,,1979
Chile ,2:0 (1:0), Colombia,1979
,,,1979
Bolivia ,2:1 (1:1), Argentina,1979
,,,1979
Bolivia ,2:1 (1:1), Brasil,1979
,,,1979
Brasil ,2:1 (1:1), Argentina,1979
,,,1979
Argentina ,3:0 (2:0), Bolivia,1979
,,,1979
Brasil ,2:0 (0:0), Bolivia,1979
,,,1979
Argentina ,2:2 (1:1), Brasil,1979
,,,1979
Ecuador ,1:2 (0:1), Paraguay,1979
,,,1979
Ecuador ,2:1 (2:0), Uruguay,1979
,,,1979
Paraguay ,2:0 (1:0), Ecuador,1979
,,,1979
Uruguay ,2:1 (1:0), Ecuador,1979
,,,1979
Paraguay ,0:0, Uruguay,1979
,,,1979
Uruguay ,2:2 (0:1), Paraguay,1979
,,,1979
Perú ,1:2 (0:1), Chile,1979
,,,1979
Chile ,0:0, Perú,1979
,,,1979
Paraguay ,2:1 (2:0), Brasil,1979
,,,1979
Brasil ,2:2 (1:1), Paraguay,1979
,,,1979
Uruguay ,2:1 (1:0), Chile,1983
,,,1983
Uruguay ,3:0 (1:0), Venezuela,1983
,,,1983
Chile ,5:0 (3:0), Venezuela,1983
,,,1983
Chile ,2:0 (1:0), Uruguay,1983
,,,1983
Venezuela ,1:2 (0:0), Uruguay,1983
,,,1983
Venezuela ,0:0, Chile,1983
,,,1983
Ecuador ,2:2 (0:1), Argentina,1983
,,,1983
Ecuador ,0:1 (0:1), Brasil,1983
,,,1983
Argentina ,1:0 (0:0), Brasil,1983
,,,1983
Brasil ,5:0 (1:0), Ecuador,1983
,,,1983
Argentina ,2:2 (0:1), Ecuador,1983
,,,1983
Brasil ,0:0, Argentina,1983
,,,1983
Bolivia ,0:1 (0:0), Colombia,1983
,,,1983
Perú ,1:0 (0:0), Colombia,1983
,,,1983
Bolivia ,1:1 (0:0), Perú,1983
,,,1983
Colombia ,2:2 (0:1), Perú,1983
,,,1983
Colombia ,2:2 (1:0), Bolivia,1983
,,,1983
Perú ,2:1 (2:0), Bolivia,1983
,,,1983
Perú ,0:1 (0:0), Uruguay,1983
,,,1983
Uruguay ,1:1 (0:1), Perú,1983
,,,1983
Paraguay ,1:1 (0:0), Brasil,1983
,,,1983
Brasil ,0:0, Paraguay,1983
,,,1983
Uruguay ,2:0 (1:0), Brasil,1983
,,,1983
Brasil ,1:1 (1:0), Uruguay,1983
,,,1983
Uruguay ,2:1 (1:0), Chile,1983
,,,1983
Uruguay ,3:0 (1:0), Venezuela,1983
,,,1983
Chile ,5:0 (3:0), Venezuela,1983
,,,1983
Chile ,2:0 (1:0), Uruguay,1983
,,,1983
Venezuela ,1:2 (0:0), Uruguay,1983
,,,1983
Venezuela ,0:0, Chile,1983
,,,1983
Ecuador ,2:2 (0:1), Argentina,1983
,,,1983
Ecuador ,0:1 (0:1), Brasil,1983
,,,1983
Argentina ,1:0 (0:0), Brasil,1983
,,,1983
Brasil ,5:0 (1:0), Ecuador,1983
,,,1983
Argentina ,2:2 (0:1), Ecuador,1983
,,,1983
Brasil ,0:0, Argentina,1983
,,,1983
Bolivia ,0:1 (0:0), Colombia,1983
,,,1983
Perú ,1:0 (0:0), Colombia,1983
,,,1983
Bolivia ,1:1 (0:0), Perú,1983
,,,1983
Colombia ,2:2 (0:1), Perú,1983
,,,1983
Colombia ,2:2 (1:0), Bolivia,1983
,,,1983
Perú ,2:1 (2:0), Bolivia,1983
,,,1983
Perú ,0:1 (0:0), Uruguay,1983
,,,1983
Uruguay ,1:1 (0:1), Perú,1983
,,,1983
Paraguay ,1:1 (0:0), Brasil,1983
,,,1983
Brasil ,0:0, Paraguay,1983
,,,1983
Uruguay ,2:0 (1:0), Brasil,1983
,,,1983
